"","prolific_id","oer_1","oer_2","oer_3"
"1",1,"At first I would sympathize because the child would be upset. Then I would discuss how much effort was actually put into the studying process. Then perhaps we would strategize to have better study habits for certain classes.","Initially my gut reaction would be disappointment. But I would not say that.","As a parent I would understand that something went wrong between studying for the test and taking the test. Clearly the child didn't study enough or ask enough questions for things that they didn't understand. My gut reaction would be to be disappointed, but then I would take a step back and analyze how the grade was arrived at and what was lacking in the studying habits of the child."
"2",2,"I'd say ""What happened? I thought you studied"" I'd want to get to the bottom of why they did so poorly.","I'd think that either they didn't study enough or their study habits weren't effective.","I'd feel disappointed, to be honest."
"3",3,"sometimes you learn more from your mistakes than you learn when you get things right so get your head down and make sure you try your hardest and that you give your studies everything and if you give it a go next time may be better. i can help you practise and we can read practise questions so that at the next test hopefully you will do better","i think that everyone can have an off day and so i would help my child practise so next time they will be better prepared","i would give my child all the support i can to try and reverse this with my child for the next time"
"4",4,"I would ask my child if they tried their best and that if they did and they know that they did then they have nothing to be upset about and that they can try harder next time.","I would think that they need a little more practice because they didn't understand the material completely.","I would feel bad because my child felt badly about themselves and I would want to try and help them in the best way I could so that they know that sometimes we mess up on things but you can always try and fix the problem or work on the problem and do better in the future."
"5",5,"I would ask what happened, and say that I thought she knew the material.","What the heck happened?","Frustrated and disappointed"
"6",6,"I thought you felt the test went well? What do you think happened? Let's review what you got wrong and make sure you understand what you did wrong, so next time you know how to solve the problems. It's okay, it's not the end of the world. You will have to study a bit more harder next time.","That there is obviously some math concept that he doesn't fully get. Maybe multiple concepts.","Disappointed and I would feel bad that my child thought it went well and it didn't and that he must be feeling pretty bad and disappointed as well."
"7",7,"Oh wow, what happened? Were there questions ya'll didn't cover on there? I'd look through the test and we would go over the material.","I would think the test was printed incorrectly or their was major miscommunication in the class","I would feel frustrated but I know that the test is just a test"
"8",8,"Don't worry son, you gave your best effort. In the next exam you recover and we can study together if you want. Take it easy, everything has a solution in this life","That he really tried hard to get good grades, but I'm not going to scold him for that, on the contrary I will help him as much as I can.","I would feel sad because he feels sad, however I would give him my support so that he can overcome this situation and feel more calm."
"9",9,"I'm sure this is disappointing, but you can use this as a learning tool.  Which questions did you miss, and how would you come to the correct answer?  And just remember, this is only one test, a snapshot in time.  Education is all about ongoing learning.  No one is perfect, and we love you.","I would feel badly for my child because I know she feels terrible about the test.","I would want to talk to the teacher to see how we could help our child to reach their full potential without causing too much stress."
"10",10,"Thats a pity, it seems you mustve misunderstood the tasks, lets lokat them and see if we can find the confusion","teacher has let child down","sad that child feels they have failed"
"11",11,"Ok, don't worry, sometimes it happens. You think you know something but for some reason everything goes bad. Now we sit together with the book and we see what could have happened.","Sometimes when you feel too secure it's easy to fall into mistake. Maybe she read too fast and misunderstood.","Not a big deal, it's a part of the learning process."
"12",12,"you can always study more to get a higher grade","that the child needs a little help on the matter","normal"
"13",13,"What happened in the exam? Did you not comprehend the topic in hand?","The child is not having a hard time comprehending the topic","Confused on why that happened"
"14",14,"I would reassure him that everything will be ok. We will go over the material and see where things went wrong.","I would feel bad and try to get to the bottom of this. I would want to see what was so confusing","I would badly for my son as math is his favorite subject. As a parent I will help him succeed"
"15",15,"Probably say that they did their best, but that they should probably work a bit harder to get a better grade.","That it will be fine if he/she improves","A little bit dissapointed"
"16",16,"Encourage them that it's a new class and they will get better with time as long as they keep trying their best.","Slightly concerned they thought it went okay, but got an F. Would tell myself it's a new class and keep an eye on it.","Concerned, but not overly worried."
"17",17,"I would say that now they know that they need to pay more attention to their studies and that they will have the entire year to bring their grade up to where they think it should be.","I would think that they have found a level where their natural intelligence has plateaued and that they now need to work harder.","It wouldn't bother me if this was only the first exam as they still have time to make corrections and learn the material."
"18",18,"I would tell my child that they thought they were prepared for the test but it was possible that they weren't. Then maybe we should hire a tutor, or they should seek their teacher for extra guidance. I would explain that being overconfident can sometimes be a downfall.","I would think that they or trying hard, but they may have overestimated their abilities.","I would feel as if my child had made a mistake. That they would have thought that it was easier than it should be. That sometimes life presents you with challenges that you need to overcome."
"19",19,"We would sit down and discuss the areas that he failed on and look at ways to improve these areas, we would set in place a plan to improve on the areas he did not do so well on and put in extra work to improve. We would encourage our boy to learn by these mistakes by setting additional home tests.","We all have to learn somewhere and mistakes are common and not to be scared of - but to improve is first to look at what went wrong so he can address those issues and improve his learning abilities in those particular areas.","I would not be to hard on him and explain everyone makes mistakes and we can't all get everything right and that I am not upset that his mark is a fail because from this point on we can address the issues together and move forward. I think as a parent you need to point out the positives and not be to disappointed about the failures as these can be addressed so to take a positive approach and deliver a solution encourages the child to learn."
"20",20,"Find out from the teacher where you went wrong and do some Homework on that side of the Math.","I would be surprised but would look at it constructively.","More concerned about rebuilding the child's focus and knowledge of the Math."
"21",21,"I would say that we can always get better and lets go over the work again together.","That my child did not have a good enough understanding of the subject.","A bit disappointed but thats life"
"22",22,"We can study more for the next test. It's only the start.","Have my child review their notes nightly.","Frustrated but hopeful."
"23",23,"I would ask if they understand what they got wrong and would look it over with them to improve for next time.","I would be concerned that they didn't have understanding of math.","I would feel worried and like something is wrong."
"24",24,"OK did you answer all the questions? Did you show your work?","Not sure depending on my child's perceived  ability","Bad for them"
"25",25,"I would tell her not to worry that we can get her extra help so that she understands the material better.","I would think that she wasn't studying effectively and needs extra help to understand the concepts.","I would be concerned that my child remains optimistic that she can learn the material and not feel defeated."
"26",26,"It's okey, small mistake, but you will keep up in the future","It's okey, nothing bad happend","Nothing new"
"27",27,"Sorry to hear about that, it must be disappointing for you. I know you like maths so we'll just keep on with it. You'll do better in the tests when you learn some more. It's no big deal.","The subject material is more difficult than she thinks.","I don't like to see her upset but ups and downs in life are normal and usually beneficial."
"28",28,"I would be surprised due to the fact that s/he was studying for it. Therefore, I will ask my child to think about what possibly went wrong. I will then ask her teacher about what s/he thinks went wrong and work from there.","I think that my child either studied but did not understand it well, or they haven't studied and lied which in reality I feel they won't lie to me.","I would feel OK, nothing major that will make me that I failed my child or that my child isn't intelligent and give up on them."
"29",29,"I would be asking my child what happened? and then have the child talk about the test, how they felt while taking it, how others did on the test, etc. Then, I would sit with the child and go over the test and see if we could figure out what the correct answers should be. If we are unable to figure out the answers, I would schedule a conference with the math teacher.","I would be concerned that my child is not grasping the material.","I would be very concerned and want to help my child as much as possible."
"30",30,"Honey, I'm so sorry.  Let's take a look at the problems on your test together.  I'm proud of you trying your best and working hard on all the problems you knew how to do.","I would be shocked and would want to investigate further to see if there were mistakes made on the grading of the test.","I would feel regret that I hadn't spent time helping my child prep in advance of the test."
"31",31,"It's OK. These grades aren't that important in the long run but it tells us that you need more practice. Don't be afraid to ask the teacher for help and we can work harder on the problems at home.","The same as I said. I would be worried about their self esteem though.","I would feel like maybe I didn't help them prepare enough. I would feel happy to help."
"32",32,"It looks like yoy failed your math test today. You studied for it for a good bit of time so what happened? It doesn't make sense that you only got a 54.","I would think that my child had not really studied for the test. It would be my assumption that they lied about studying their math.","I would feel disappointed and would want answers as to how this happened. If my child really did study and failed then we may need to look into getting a tutor. If my child lied and did not study then he would need to have devices taken away."
"33",33,"It's perfectly fine - you've just started, you must have misunderstood some things. We'll figure out what was wrong, work on those mistakes, and you will do great the next time. I will help you.","Poor kid, she must be devastated.","Sad for my girl"
"34",34,"Its okay! we will see where our problem areas are and will work on them.","I think the situation is relatable and is not a big issue because there's nothing that we cant work on.","I would feel like helping my child in gaining the knowledge required to pass her exam."
"35",35,"i'll sit with her to see together what went wrong in the test and  what she did not understand","she overstimate her comprehension of the subject","interested and a little stressed"
"36",36,"I would ask her what went wrong since she told me she was confident she would get good grades.","It could probably not be her fault. Maybe her teacher didn't explain well enough, or she just didn't get the information as she should, or got nervous by the time she was having her test.","I would feel worried about her."
"37",37,"I would ask them what happened. I would also see if the test could be retaken or if additional points could be earned. I would also ask where they thought things went wrong.","I would be okay as long as my child tried their best","I would feel that maybe they need help and that I missed it."
"38",38,"It is a hard task, we should learn harder to understand things.","Logic is a thing you have or haven't.","Disappointed"
"39",39,"What went wrong - you seem to enjoy that class and knew the work?","Perhaps the exam/assessment pressure made my child forget the work due to  panic","Concerned and wanting to help my child left performance"
"40",40,"I am proud of you for trying your best but lets look at where you went wrong so you can better next time.","I would wonder what went wrong but it's not a big deal as they can learn from it.","I would be unhappy and confused."
"41",41,"Don't worry too much, that can happen. Next time, you'll be better prepared. I will help you study.","I'd think he underestimated the difficulty and maybe didn't manage the time well or was nervous.","Like I need to spend more time helping him out."
"42",42,"I would tell them they tried really hard and I was proud of them. I would say it's only the first test and they may do better later and to keep trying and not get discouraged.","I would be surprised they did not get a better score. I would think maybe they were overconfident. I would wonder about the validity of the test and how others scored.","I would wonder if I could have done more to help them. I wouldn't blame the child, but would look at what more we could do. I would be a little disappointed."
"43",43,"I would tell my son that even though he might think he had studied and prepared the test sufficiently, sometimes it is better not to be so confident and if he can make a little more effort. Don’t let it fall apart. A low score is not the end of the world and can be improved.","Encourage him to continue studying


","I’d feel calm, a bad test is not the end of the world."
"44",44,"What happened here? I thought you said you knew it pretty well? I think we should sit down and go over the questions and your answers to see how we can improve your scores for next time. It is ok to not do well but I want to help you do better next time.","I would remember how hard my dad was on me when I would fail tests even though I had studied really hard for it. I would not want to make him feel that way as well.","I would be sad for him to get such a bad grade but I would feel like I failed as well. I would try to make more time to sit and work with him so that he could do better next time."
"45",45,"It is the first exam, everything is fine, failure is part of the success","That a grade does not define the knowledge of my children, and it is just a casual test","With the duty to motivate and teach my children to learn and not get frustrated"
"46",46,"Let's look at what went wrong","I would wonder if the material covered on the test truly reflected the assignments and lessons.","Sad for my child"
"47",47,"I would tell them not to worry and just to study harder for the next one","I would be disappointed","I would feel bad like I should of helped more"
"48",48,"Everyone fails you have to learn from it and improve on it, that is the only way to get better at anything.","I think she would need to learn more, no point thinking you know everything until you do.","Supportive"
"49",49,"I would ask what they think went wrong, and if they needed help studying in the future.","I would be concerned that the teacher did not make sure the students understood the lessons.","I would feel bad for my child, as long as I thought they really tried, and would want to encourage, rather than discourage him or her."
"50",50,"I will tell him, What happened, you told me you were good at this class?
Will try to review the wrong answers with him, to identify and explain the errors.","I think I need to talk to teacher and verify the teaching methods.","Supportive to my son"
"51",51,"I would ask what type of questions did she feel uncomfortable with and to explain them so I can help her to understand them better. I would ask about some of the other questions she thought were easy and prepare someone others ones for her to complete","That my child enjoys the class but isn't quiet understanding the content. I would also think that the teacher is missing or misinterpretating my child's progression or understanding","I wouldn't feel terrible I would help my daughter understand the math problems to help her do better"
"52",52,"You got more than half of them right","Math I'd hard for me too","Sympathetic"
"53",53,"Let's sit down and look at it together. I would review the problems that s/he got incorrect. Have them correct the problems they got wrong and probably give them a few more similar  problems for practice.","I would help my child understand why they got the problems wrong and determine how they became so confused.","I would feel bad as a parent if the teacher did not have time allotted in their schedules to reteach and retest students."
"54",54,"I would first ask him if there were any questions that he did not understand in his exam and then review with him the questions and his answers and obviously I would punish him if it was his mistake and if not I would simply tell him to study better he cannot make this kind of mistakes in his first year.","very bad","annoyed and somewhat angry."
"55",55,"I would tell her ""That's too bad because I know how hard you worked and how interested you were!  We'll have to go over it and find out where things went wrong""  I would then go over the material with her and help her catch up.","I would think I should help her improve so she can keep up the enthusiasm and not lose heart.","I would feel happy that my child was working hard and curious where the the break down happened."
"56",56,"I would feel terrible for her because I know she would take this very hard.  I would ask her if she thought she tried her best.  Since she likes the teacher I would encourage her to go to the teacher and have a conversation as to why the disparity between how she scored and how she thought she understood the material.","I would think that she didn’t understand the material as much as she thought.","I would feel very frustrated and also sad for my daughter because she is sensitive."
"57",57,"I would tell my child that he needs to be better and that he needs to improve , but i will also ecourage him to practice more math.","i would think that maybe some questions where just to hard for myt child to understand .","i would feel the need to help my child so he can improve."
"58",58,"me gustaria que fueran mas inteligentes y sepan como dese,peñar los ploblemas del dia a dia por so solas","que lo intentaran","mucho mas confiado sobre sus decciones
"
